"","Age","Year","Population","CoB","Age group","Age group (condensed)"
"1285","9",2013,602871,"Total","5-9","0-14"
"1286","10",2013,585128,"Total","10-14","0-14"
"1287","11",2013,574278,"Total","10-14","0-14"
"1288","12",2013,589178,"Total","10-14","0-14"
"1289","13",2013,604563,"Total","10-14","0-14"
"1290","14",2013,623246,"Total","10-14","0-14"
"1291","15",2013,630796,"Total","15-19","15-64"
"1292","16",2013,647865,"Total","15-19","15-64"
"1293","17",2013,649348,"Total","15-19","15-64"
"1294","18",2013,650210,"Total","15-19","15-64"
"1295","19",2013,676533,"Total","15-19","15-64"
"1296","20",2013,685020,"Total","20-24","15-64"
"1297","21",2013,712611,"Total","20-24","15-64"
"1298","22",2013,738885,"Total","20-24","15-64"
"1299","23",2013,735438,"Total","20-24","15-64"
"1300","24",2013,731784,"Total","20-24","15-64"
"1301","25",2013,743135,"Total","25-29","15-64"
"1302","26",2013,729067,"Total","25-29","15-64"
"1303","27",2013,739435,"Total","25-29","15-64"
"1304","28",2013,743968,"Total","25-29","15-64"
"1305","29",2013,729727,"Total","25-29","15-64"
"1306","30",2013,737246,"Total","30-34","15-64"
"1307","31",2013,737807,"Total","30-34","15-64"
"1308","32",2013,744529,"Total","30-34","15-64"
"1309","33",2013,746160,"Total","30-34","15-64"
"1310","34",2013,716283,"Total","30-34","15-64"
"1311","35",2013,667971,"Total","35-39","15-64"
"1312","36",2013,657506,"Total","35-39","15-64"
"1313","37",2013,668412,"Total","35-39","15-64"
"1314","38",2013,681869,"Total","35-39","15-64"
"1315","39",2013,693416,"Total","35-39","15-64"
"1316","40",2013,723557,"Total","40-44","15-64"
"1317","41",2013,753328,"Total","40-44","15-64"
"1318","42",2013,777647,"Total","40-44","15-64"
"1319","43",2013,758751,"Total","40-44","15-64"
"1320","44",2013,776610,"Total","40-44","15-64"
"1321","45",2013,775854,"Total","45-49","15-64"
"1322","46",2013,787082,"Total","45-49","15-64"
"1323","47",2013,787762,"Total","45-49","15-64"
"1324","48",2013,791234,"Total","45-49","15-64"
"1325","49",2013,783842,"Total","45-49","15-64"
